event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR3546542026_2016-06-01,386,FR-35207001,FR3546542026,2016-06-01 10:38:00,66,2014-04-10T00:00:00,013FA,01HFN,9,2412,ete,FR,laitier,genisse,tv_expulsion
FR0802026738_2016-06-01,254,FR-08082003,FR0802026738,2016-06-01 06:50:00,66,2013-12-15T00:00:00,012UV,0175U,12,667,ete,FR,laitier,genisse,tv_expulsion
FR0802026729_2016-05-26,252,FR-08082003,FR0802026729,2016-05-26 13:31:43,66,2013-11-23T00:00:00,01H7B,0175R,16,662,printemps,FR,laitier,genisse,tv_expulsion
FR3546541789_2016-05-26,364,FR-35207001,FR3546541789,2016-05-26 00:35:38,66,2010-09-22T00:00:00,011C3,15040,14,2467,printemps,FR,laitier,vache,tv_expulsion
FR0802026708_2016-05-22,250,FR-08082003,FR0802026708,2016-05-22 03:33:24,66,2013-09-07T00:00:00,012NS,015VQ,12,715,printemps,FR,laitier,genisse,tv_expulsion
FR0802026772_2016-05-18,255,FR-08082003,FR0802026772,2016-05-18 19:33:28,66,2014-05-26T00:00:00,012UV,017SY,8,664,printemps,FR,laitier,genisse,tv_expulsion
FR0802026648_2016-05-17,240,FR-08082003,FR0802026648,2016-05-17 00:44:50,66,2012-10-12T00:00:00,01H7D,0175Q,10,671,printemps,FR,laitier,vache,tv_expulsion
FR0802026582_2016-04-25,235,FR-08082003,FR0802026582,2016-04-25 12:18:00,66,2010-06-19T00:00:00,012UV,01IZS,16,673,printemps,FR,laitier,vache,tv_expulsion
FR0802026655_2016-04-24,242,FR-08082003,FR0802026655,2016-04-24 17:47:00,66,2012-11-10T00:00:00,00ML9,017T5,16,676,printemps,FR,laitier,vache,tv_expulsion
FR0802026684_2016-04-21,245,FR-08082003,FR0802026684,2016-04-21 10:47:00,66,2013-04-10T00:00:00,00ML7,017SQ,13,672,printemps,FR,laitier,vache,tv_expulsion
